cleaned_tweet,sentiment,Unnamed: 2,Unnamed: 3,Unnamed: 4,vader_score
"Tesla's Surprising Lead in Europe  July 10th, 2022. Tesla has taken a surprising lead in Europe with astonishing numbers, as well as continuing to take China by storm, despite a shutdown in May.   More Info Here:",positive,,,,0.6486
"It’s a very sweet car! Literally crushes every/any exotic. And before you come running, Yes I own a Tesla Plaid.  To be clear, exotics are NOT a value proposition and never will be. A significant portion of the price is specifically a barrier to entry to create exclusivity.",positive,,,,0.6068
Delivery numbers for Tesla getting ready to overtake other car companies for July 20’ EPS,neutral,,,,0.3612
So are bots.,negative,,,,0.0
Most of the people said same thing when he said Tesla will become one of the main stream car maker. Pretty interesting how that tuned out and also amazing to see people who don’t even have millions commenting on billionaire investment lol,positive,,,,0.91
Better question is there a logical reason for tesla to be &gt; $200?,positive,,,,0.4404
Twitter Stock Drops As Company Hires Law Firm To Sue Elon Musk Amid Mocking Tweets From Tesla Founder,negative,,,,-0.4019
Make A Tesla Motor Home &amp; A Tesla Camper Van Like A VW Camper Van I Want One With A Stove Fridge Tv Internet Service Self Diving Surfboard Rack All Included !!!,positive,,,,0.6093
He sold $8.5 billion in Tesla stock quietly while pretending to buy Twitter loudly.   Sham.,negative,,,,0.1027
Today is World Population Day!,negative,,,,0.0
TLM called Allien Worlds. It’s best choice for Tesla and space X,positive,,,,0.6369
"Because Tesla is the place where loads of talented ambitious engineers go, and Toyota dropped the ball at least a decade ago?",positive,,,,0.7506
Idc how unrealistic it seems. I’m going to be driving in my own Tesla soon. That’s all I know.,positive,,,,0.0
Shhh don't take this away from us.,negative,,,,0.0
It’s the overall market.  Not just EVs,neutral,,,,0.0
Necessary,negative,,,,0.0
You are right sir,neutral,,,,0.0
"Exactly, give zero ***** about Twitter and care more of the ramping of Tesla's products.",neutral,,,,0.4939
He damaged Tesla instead,negative,,,,-0.4404
Q1 2022 EV market highlights: 📈PEV shipments grew 79% YoY: Reached 1.95Mn units 🚗73% of total  sales were BEV 🚗 leads followed by  and  📈 grew by 68% YoY while BYD grew by 433% YoY  Read more:,neutral,,,,0.1027
Tesla boss sets stage for what could become one of the oddest courtroom battles in corporate-takeover history. $twtr $tsla ⁦⁩,neutral,,,,-0.3818
I don’t believe it.,negative,,,,0.0
Why does everyone keep bringing up Tesla as if that is a gotcha?,neutral,,,,0.0
Tesla is  in Europe (all time cumulative BEV sales per auto group). VW is .,neutral,,,,0.0
You can tow a camper?,neutral,,,,0.0
Burnout to Fade - Tesla,neutral,,,,0.0
lol.. as long as you took profit you did good! today was macro + profit taking i guess ..,positive,,,,0.8398
"Your complete lack of self awareness is hilarious.   Energy beam transmission was postulated by Tesla FFS.   Amusing to see crypto bros ""discovering"" the basic laws of financial markets are the same whether you're using code, shells, $$ or potatoes...",neutral,,,,-0.1111
There’s a shopping center near me and a few of the light poles have 110 outlets. There’s someone who has a Tesla and always plugs in. Love it. Free “gas.” 💪,positive,,,,0.8176
"Yo, Baby number 6 arrived this weekend. Large capacity family Tesla in the future?",neutral,,,,0.0772
"I’m gonna buy Tesla, call your bankers. Psych.",negative,,,,0.0
Just saw a guy driving a Tesla and the license plate says “2 mars” which tells me this dude totally gobbles Elon‘s dick on the daily,negative,,,,-0.552
Absolutely Amazing!,positive,,,,0.6581
"I think you go long twitter and short tesla here, deal has actually been accelerated",neutral,,,,0.0
"Nah, i am gonna pass",negative,,,,-0.1027
"If I were Twitter then once I'd extracted at least $1B out of Musk for the privilege of NOT buying Twitter, I'd send t-shirts to every Tesla and SpaceX employee.  ""My boss failed to buy Twitter but we all got these fabulous t-shirts"".",positive,,,,0.6369
"Kurt, suggest you watch Lars videos  regarding your points. Problem is the ice group keep saying they want to beat Tesla, if they were smart they’d forget that concept and just build more desirable vehicles focusing on their benefits.",positive,,,,0.5563
Just managed to scrape the data from  their job portal. I expected a bit better data standards from Tesla. Had to do bit of cleansing .,positive,,,,0.4404
"Based on the following charts, the global BEV market rose from 2.3 mln in 2020 to 4.8 mln in 2021, i.e. +112%. In the same time Tesla sold 87% more vehicles. That’s why it’s global market share fell to 19.5% from 22.1%.  Rephrased: Tesla’s competition grows even faster.",neutral,,,,0.296
is trolling Twitter on Twitter. $TSLA,negative,,,,0.0
S.  A Board Member is offering to  the full fee he w’d receive by driving you on that very special day!Arrive in style on a beautiful white  model S @    You’ll be donating to    Text us 754208PAWS Thank you,negative,,,,0.8653
Throw in a free Tesla and I’m in!,positive,,,,0.5562
1.6 kilometers to the mile.,neutral,,,,0.0
Tesla that actually looks good,positive,,,,0.4404
"Liar! Compared to Tesla in history, you are noooooothing.",negative,,,,-0.5562
Smoked,negative,,,,0.0
"Yup, so being gay is bad.",negative,,,,-0.5423
"I understand, but they still need to purchase a special connection/power outlet is my understanding &amp; Tesla would also have the info as their cars ' report in ' . It does change the demand/usage of public chargers, significantly wouldn't you say?",positive,,,,0.5499
To be fair. VW maybe delivers that amount each month while Tesla bumps every third. A whole year (2022) comparison will be interesting to see later.,positive,,,,0.6124
Same here.,negative,,,,0.0
Tesla sold almost 100k more cars…. But if you sold 1 EV then sold 4 your growth is 200%?  Ok you’re dominating… this is just targeted Musk hate..,positive,,,,0.7351
"Tesla warns of upcoming shortages of battery minerals, like nickel, copper, &amp; lithium",neutral,,,,0.128
Tesla is down 6% also. Did midas lose his touch? We could only be so lucky,neutral,,,,0.2302
"Tesla and I are visualizing this gorgeous shroom all around Santa Cruz, Ca. It is way more attractive than the UCSC banana slug that showed up in Pulp Fiction. 😂☺💙",positive,,,,0.8378
Can I have a Free Tesla?,positive,,,,0.5106
Just 2 examples of Chinese EVs are BMW and Tesla. The Chinese manufacturers are beginning to export.   I’m hoping my Model 3 when it arrives is a Chinese one. The build quality is high and it will probably have LFP batteries made by the Chinese car company BYD.,neutral,,,,0.4215
The dream just got a dose of reality $tsla,neutral,,,,0.25
"So, yeah, bottomline,  if you think Tesla is no more than just a car company or putting a low possibility on that, and that you believe teslas are just cara with an electric drive train and not a computer on wheels will be your undoing.",neutral,,,,-0.204
⚠️3 Stocks To Watch This Week:  -Delta Air Lines -JPMorgan Chase -Tesla  👉,neutral,,,,0.0
"You’re not seeing the bigger picture &amp; the business aspects. No one is forcing anyone to buy a Tesla, so like everything else there are Pro’s and Con’s. Tesla is an optional battle 🤷‍♂️ On that note I shot a Tesla AV video yesterday. Next, I’ll do one about the cheap aspects.",neutral,,,,-0.1428
"I can't agree with you, Tesla's mission is to fasten transition to sustainable energy, all of it just because of ecological and economical reason -&gt; stop using fossil fuels Global warming due to greenhouse effect which is stronger because of burning of fossil fuels   1/2",neutral,,,,0.2477
"OK, so  decided to surrender to . Same goes with   Only  and copycat  are in the battle.",neutral,,,,0.0857
Why the empty space in centre?,neutral,,,,-0.2023
find me live on tesla nasa and wion youtube pages?,neutral,,,,0.0
"Yall got to remember Tesla plaid has 3 motors, Lucid has only 2 😉👊🏼",neutral,,,,0.0
the children dudes is really good,neutral,,,,0.4927
Tesla CEO Elon Musk shares four pictures that tell his ‘Twitter deal to no-deal story’,positive,,,,0.296
if no one buys a tesla his stock will drop and he will be out of business. Never say no one can do anything about it.,negative,,,,-0.6705
"Elon is a distraction for Tesla. The vision for the company is something I believe in. Twitter purchase, repopulating the earth, saving kids in a cave in Thailand are all symptoms of a dude with a god complex.",neutral,,,,0.128
Yesterday would have been Nikola Tesla's 166th birthday! Greenbacker follows in the footsteps of electrical power visionaries like him in our belief that  is an unlimited source of  that should play a larger role in meeting humanity’s energy needs.,positive,,,,0.7424
That makes me horny:,neutral,,,,0.0
I just realized that you don’t have the Rplate on,neutral,,,,0.0
"Sir can you get me a Tesla 😞 I wish yo drive one before I leave this world because no matter how hard i work , I’m unable to afford the TESLA 😞",neutral,,,,-0.0
Tesla Model 3 in the process of trial by the Dubai Taxi Corporation ahead of zero carbon emissions said Dubai transportation regulator.  . .,neutral,,,,0.0
Fort Erie bound Off-ramp at Nikola Tesla SB due to a collision.,neutral,,,,-0.3612
"He must have ""chief meme officer"" @ Tesla",neutral,,,,0.0
U.S. agency to open probe into fatal Florida Tesla crash Details:  . . . . .,negative,,,,-0.7351
"Before Trying to Overthrow Democracy, Jeffrey Clark Let Polluters Walk Free",negative,,,,0.0772
"Elon Musk- this is the BIG problem for Tesla stock, especially his unpredictable mouth.",negative,,,,-0.4019
Yeah prices up a tad,neutral,,,,0.296
"Two Tesla Semis Spotted in California  Two Tesla Semis were spotted in California heading west. Since the two trucks were following one another, there is a possibility that they tested Convoy Mode.",neutral,,,,0.0
losing more fans every day. sad day for tesla.,negative,,,,-0.6908
Can i get a job at Tesla? Am trynna secure the bag,negative,,,,0.34
Tesla CEO Elon Musk takes swipe at Twitter lawsuit threat,negative,,,,-0.6486
$TSLA [Tesla]: Wells Fargo Maintains Equal-Weight Lowers Price Target $900 --&gt; 820  Sign-up free for beta ver.:,positive,,,,0.5859
Lmao and for the last 10 years Tesla has been told the competition is coming🤣🤣🤣🧐🧐... Tesla's competition can't even see Tesla with a telescope🤣,positive,,,,0.5994
". Motor trails Hyundai Group by about 11,500 EVs in the U.S. for No. 2 behind Tesla.   Will the ramp up of Lightning be enough to overcome Ioniq 5, EV6, etc?   Here’s what you need to know about one of the year’s more interesting sales races:",neutral,,,,0.2006
will green hydrogen 🌱 affect tesla's market 🚗,neutral,,,,0.0
Haha… seems genuine. 😂 Maybe you could upgrade to a Tesla now!,positive,,,,0.0
"People for a long time under the impression that he was an actual genius and single handedly responsible for Tesla and SpaceX.  He's an idea man. He has ideas and then hires people to actualize them. All he said was ""let's make an electric car that drives itself""",negative,,,,0.4939
China's  Lithium Expands in Argentina With $962 Million Deal - Bloomberg  The End of the ICE Age  ⚡️  🔋   ✅,neutral,,,,0.1027
Current  Price: $758.00 📈 ⚡🚗🔋,negative,,,,0.0
You are a manipulative person... You manipulated doge.... You manipulated Twitter... Searching for someone who can manipulate tesla,negative,,,,-0.6369
"You already have a tesla, I’ll keep your share greg",neutral,,,,0.296
$TESLA Don't miss the next move in a Few hours..,neutral,,,,0.1139
Elon Musk Allegedly Made an Admission that Hangs as a Dire Threat Over His Tesla Empire.,negative,,,,-0.7506
Tesla friend turns foe after teen’s tragic accident,negative,,,,-0.7003
"Christ Goal: Win a Tesla or outside the USA $50K, ends 12/12/22",positive,,,,0.5859
whats going on in outer space = sputnick nasa tesla?,neutral,,,,0.0
"Elon Musk told the father of a teenager who died in a Tesla Model S crash that the carmaker made a mistake in removing a speed limiter from the vehicle without the father’s permission, a lawyer for the family said in court.",negative,,,,-0.8271
1st Battery and 2nd DU back. In front also the 1st.,neutral,,,,0.0
"When $TSLA targets 20M  a year in 2030, I think that’s not 20% of global demand, but a more significant share. Total vehicle demand will crater due to 1) legacy cannot catch up, 2) Robotaxi obsolete personal vehicle ownership.",positive,,,,0.2633
"Both were doing “fine” in Lala Land. Actual worth vs stock price was not reality.  Musk knew this, knows that Tesla is on the edge and converted his estimated wealth into hard cash.  Something Twitter execs would love to do too.  His admission of guilt is him predicting a crash.",negative,,,,0.6249
It should be tri-motor against tri-motor. This is not the matchup of the century.,neutral,,,,0.0
"Looks better then a Tesla. I’ve driven model3, over price for how plain and generic it look inside and out. Tesla is like a Wal-Mart of the auto industry",positive,,,,0.6597
Not to mention Elon Musk has tanked his fucking Tesla stock. Which he lost so much money in that alone,negative,,,,-0.5106
Are you kidding? Munro even admitted he goes easy on Tesla because he has a financial stake in the company. All Tesla’s still have widespread build quality and reliability problems. That’s why the company keeps coming in at the bottom of reliability rankings.,negative,,,,0.25
Interesting reading.   Tesla is running away with the game and that will cost Apple someday.  Committees never create great products.,positive,,,,-0.3417
"""taking tesla private @ $420"" moment",neutral,,,,0.0
"Again completely false assumption. World only produces approx 100,000 tons of Li a year, Vast bulk from the Lithium Triangle, second Aus, but Aus Li deposits are mined from rock which has to go through processing, for every 100,000 tons of rock 5% actual Li is extracted.",neutral,,,,0.0
Tesla is simply better.,positive,,,,0.4404
"Who uses their own face in a meme like this? Gross.   Even though my username was originally inspired by Nicola Tesla, I wish there was some way I could change it for fear of any accidental association with this man's best known project. Ew.",negative,,,,0.6678
"Actually no, I can get my car fixed by almost any asce master tech that's available which is a lot more than tesla service techs.",positive,,,,-0.296
Twitter stock fell Monday after Tesla chief Elon Musk ditched a $44 billion deal to buy the social media giant,negative,,,,0.0
What do you think about the theory that this was an excuse for him to sell Tesla stock?,neutral,,,,0.0772
"If everyone would use auto drive there would be a lot less accidents. Those that do happen will look weird and different though, so we feel outrage at the stupid automation. No fan of Tesla nor Musk but computers are just TT better at most things.",positive,,,,-0.1117
The only stock that will be green today is Tesla,positive,,,,0.0
Because tesla stock took a nose dive,negative,,,,0.0
"tesla-hyundai car chase and harassment makes total sense now! even if he discounted his own family and humanity that much as a pedo goblin, you’d think the reported richest man in the world would have the budget to care for all of his offspring!",negative,,,,0.5972
The real joke is he got to sell all those tesla shares with no scrutiny,negative,,,,0.296
"Lol, they should sue him into submission. Who cares about discovery?  At the end of the day a billion people will still use Twitter, and they'll use it to discuss cratering Tesla stock",negative,,,,0.7003
Tesla company will make their life more essay and effective on their academics,positive,,,,0.5209
"In my opinion, whoever loves children and animals is the most wonderful person in the world.",positive,,,,0.8268
also accept,positive,,,,0.3818
Bet on people ... Elon and Tesla will make it happen.,negative,,,,0.0
Tesla stock was over $1100 a share when most proposed to buy Twitter   Then the stock lost almost half its value.   He was going to use his stock to get a loan to purchase Twitter,positive,,,,0.2585
Yeah but I’m getting a Tesla so Tesla vibes lmfao,positive,,,,0.7747
Tesla Model S Plaid at 217 mph (350 kmh) ⚡️🚀🔥    via,negative,,,,0.0
Tesla Giga Berlin shuts down today for 2 weeks. Here is why. But also the union IG Metall reports dissatisfaction among the workforce.,negative,,,,-0.6486
"he only did this whole drama to have excuse to sell more tesla stock, he never intended to buy twitter. Learn Elon's tricks.",negative,,,,-0.0516
"Imagine deciding not to buy a Tesla because you personally don't like the CEO, most people personally didn't like Steve Jobs",neutral,,,,-0.4973
"TNR Gold NSR Royalty On Mariana Lithium With Ganfeng: ""Ganfeng Lithium Inaugurates Works Of Its Mining Project In The Puna, Argentina""    $TRRXF 🔋 $TNR.v ⚡️   $GNENF   $LIT $BATT $TSLA $GM $F",negative,,,,0.0
You think it's fine to get nickle &amp; dimed? You think it's fine for a company to make someone pay extra to un-limit performance that is limited purely through software? Really? Are you that clueless of how they're taking advantage of people? This is greed pure and simple.,negative,,,,-0.594
Check Out More Giga Texas Tesla Model Y Coverage:        .com,negative,,,,0.0
"Firstly, Marie Antoinette never said, ""Let them eat cake.""  That was a mistress of Louis XIV.  Secondly, if people can afford 50K pickups they can afford a Kia/Hyundai electric or hybrid.  But don't buy a Tesla. Their QC is crap.",negative,,,,-0.5267
Yup when Tesla fixes compatability and improves on 800V support it could be game set &amp; match pretty quickly ... but tariffs will keep that from happening in the real world ⚡️⚡️⚡️,positive,,,,0.5927
Did you name your new tesla Sam?,negative,,,,0.0
Musk's Twitter Deal Cost Tesla Stock Up to 15%. Why Shares Aren't Rebounding That Much.,neutral,,,,0.296
And the Lucid is 170K… for Dual motor… Tri motor would be even more expensive,negative,,,,0.0
Tesla is a CHEAP car that we pay 3x it's worth for!,neutral,,,,0.2003
Tesla Is Facing a Big New Obstacle - TheStreet ⁦⁩ Musk has been saying this for years.  This is nothing new.  This new news is old news rehashed….,negative,,,,-0.3612
"No trip to Moscow this year comrade? Oh well, hopefully Putin’s check cleared.",negative,,,,0.4588
Tesla's cars are the best example of this. They go to great lengths to steal data!,positive,,,,0.75
I got a text today saying my Tesla would be delivered sometime from 19-29 August! I ordered in December. Very excited.,negative,,,,0.4561
"""Twitter’s stock has dropped 20.4% year to date, while Tesla shares have shed 31.9%"".  Congrats Elon.  Great job at Chess.",positive,,,,0.8658
"It is difficult to point to a person who fell further, faster, than Musk over the last year, both in wealth and stature. This trial, and the jury’s specific findings, will play a major role in Tesla’s valuation in the immediate future.",negative,,,,0.4767
"What a shrewd business move if true!    Explained: How Elon Musk's Twitter bid may have been a smokescreen to liquidate Tesla stocks- Technology News, Firstpost",positive,,,,0.4753
"Haha, very good point!",positive,,,,0.7569
"VOO (I know it’s not a single stock) but the only bet I would take today   I have no idea what company, but the leader of web3 will eventually emerge in the next decade   Hard to ignore TESLA  Crypto: BTC, ETH, XRP, ADA , DOGE",positive,,, ,-0.7684
I'd like Tesla Bots running around Earth/Mars with our brains in them. Kids are hard work and a drain on resources 😋👎,positive,,,,0.2732
"Ok so let's make it like this, Vacool is a ShowMaker, Nikola Tesla and the best Kassadin 😎",positive,,,,0.836
First vote! Boom,negative,,,,0.0
"(10) The real change is investor sentiment.  🙋  The tailwinds that lifted stocks have become headwinds.   Investors say they are worried about inflation, corporate earnings, and the Federal Reserve.   But mostly, they are just worried other investors will keep selling shares.",neutral,,,,-0.1531
"158 Tesla Mega-Batteries Will Boost Hawaii Green Energy By 10%, And Shut Down Coal-Fired Power Plant",positive,,,,0.5859
above 5m good start. if you mean real whale as microstrategy/tesla in BTC governing councils/ atleast 1-2Billion pcs,negative,,,,0.4404
Have you seen the body panel tolerance on a Tesla?  It’s more of a “somewhere in the general vicinity of 3  inches” type of recommendation!,neutral,,,,0.3595
Was driving a Tesla (rented on Turo) and got passed by a truly autonomous (no driver) Cruise car. I’m buying a horse tomorrow.,neutral,,,,0.4404
I am busy... to much busy... 🤔to own Tesla company... 🤣,positive,,,,0.0
Tesla was up 10% last week,neutral,,,,0.0
There are too many Tesla drivers in Texas for us to be without electricity.,negative,,,,0.0
Tesla was the main man when talking about electric energy,positive,,,,0.2732
"We are a nation of immigrants. Someone could come to America, &amp; in due time, apply for citizenship. Tesla became an American citizen",neutral,,,,0.0
Now Playing on Retro FM 102.1 -  Love Song by Tesla  - Go to              Buy your own copy of it on Amazon here:,positive,,,,0.7717
"It took them a while, but it is definitely coming now.",positive,,,,0.5499
"Instead of Elon Musk purchasing Twitter? I dearly wish that Mr. Musk would start up a new company manufacturing High End Computer Chips. This is good for U.S. security, Tesla, High Tech Industry and jobs",negative,,,,0.8689
"Tesla absolutely does not market as ""fully autonomous"".   Tesla © 2022  ""Autopilot, Enhanced Autopilot and Full Self-Driving Capability are intended for use with a fully attentive driver, who has their hands on the wheel and is prepared to take over at any moment.""",neutral,,,,0.2263
"Happy 166th Birthday to Nikola Tesla, one of the most brilliant minds of all time, best known for designing the AC, which is the predominant electrical system used all across the world and the Tesla coil, along with several other inventions.…",positive,,,,0.9184
So when ppl say pop a Tesla they mean molly 🤯🤯,neutral,,,,0.0
It’s going deeper into my lungs so that might be a good idea 🤪,positive,,,,0.4404
"You planning on visiting the Freddie Mercury statue? 😀  Cheaper for everything on the Frence side of the border, &amp; some lovely towns on Lac Leman, as they call Lake Geneva 🙂👍",positive,,,,0.5859
What a steal lol,negative,,,,-0.1027
What's the good word on  10.13? Looking forward to seeing more confidence in areas where it previously struggled due to inaccurate map data.,negative,,,,0.624
Looks like we’re finalizing the sale of our 2nd car this week and turning in the Tesla (hopefully) soon! Our next car will NOT be a Tesla. Can’t wait!,negative,,,,0.4738
"Hey didn't found Tesla. After the founders created 90% of Tesla's cars, he became a majority share holder, canned them and had the existing team finish it. He has always been nothing more that a modern day PT Barnum.",negative,,,,0.4939
You were never going to buy Twitter you wanted to pull more money from tesla stock before it crashed.,negative,,,,0.0
"would love see tesla big company matter , start converting unused office building homeless shelter .",positive,,,,0.6486
"fwiw - likely result musk walking away deal tesla stock going 20 % . debt taking , coupled distraction twitter especially likely need liquidate tesla share huge drag share price .",negative,,,,-0.0772
still waiting invest 44b soccer team texas… get stadium built make happen . hosting 2026 world cup final could playing tesla stadium . think,negative,,,,0.2023
compare age vehicle different story,negative,,,,0.0
"elon approached named number . never serious buying twitter , manipulating market . , everybody else , knew bot twitter . us . 's losing money tesla , made enemy democrat buying tesla",negative,,,,-0.7951
supposed charge tesla ?,neutral,,,,0.0
"m going refuse tesla demand $ 250 back elon n't disclose many poor panel gap 'd get . sure , knew car would , car still work advertised , elon .",negative,,,,0.2856
nice ! : smiling_face_with_heart-eyes :,positive,,,,0.4753
tesla real ?,neutral,,,,0.0
keep telling,negative,,,,0.0
1/ investigation similar 2015 model fatal crash : `` tesla emphasized autopilot `` assist feature requires keep hand steering wheel time ... need maintain control responsibility vehicle using . '' cont - & gt ;,negative,,,,-0.2263
tesla tesla bot twitter 2025 : face_with_tears_of_joy :,positive,,,,0.0
give tesla plz,neutral,,,,0.0772
"name progress , tesla play road safety",positive,,,,0.7906
tesla ceo announced since gift tesla model .,positive,,,,0.4404
"muskateer he-he-he post bizarre given $ tsla 's mission statement say : `` tesla belief faster world stop relying fossil fuel move towards zero-emission future , better . '' guess somehow muskateers turned `` ha ha ev suck ! : face_with_tears_of_joy : ''",negative,,,,0.1511
traveling # harrisranch really wish # biodefensemode tesla ! : nose : : cow : : dashing_away :,positive,,,,0.5081
tesla stock,negative,,,,0.0
"compuware , little caesar , honey baked ham - back elite hockey program - tesla titan spaceex ice rocket ? ! ? ! ?",negative,,,,0.0
"tesla screw customer # # tesla # cleanpower # climatechanges # electric [ video ] : tesla screw customer , loyal call best car company world , ...",negative,,,,0.7579
shackle tesla meet,neutral,,,,0.0
tesla ceo announced ’ pulling deal fill bag doritos way letter $ pep board,neutral,,,,0.0
would cut month ago twitter . without twitter tesla never would $ 100 stock . ’ coming .,neutral,,,,-0.2732
"s using cover twitter 's value look like $ 15-20 billion tesla stock 40 % , even n't n't write term exit deal without penalty .",positive,,,,0.7491
point claimed global pandemic supply chain shortage blame many smaller ev company produced delivered . cybertruck wo n't even deliver 2023 like tesla semi wo n't go production year .,negative,,,,-0.2263
didnt call liar . extremely unclear purchased whether transfered university plan building anything . definitely believe someone 500 acre somewhere east tesla factory .,negative,,,,0.4782
true true .,positive,,,,0.6808
prob would ’ like $ 60 last year lol,positive,,,,0.6486
elon 's bizarre twitter takeover saga could cover sell $ 8.5 billion tesla stock | fortune,neutral,,,,-0.3182
"art : crossed_fingers : get exposed , gag would ! # tesla # elonmuskpullsout",negative,,,,-0.4574
"apple tesla 's biggest manufacturing base china supply chain also heavily rely chinese supplier ? n't know , google apple 's supplier list .",neutral,,,,0.0
"apt comparison , performance boost upgrade akin paid driver update control hardware function . reasonable cost money , something oppose fucking suck consumer n't normalized .",negative,,,,-0.1263
"correct . morgan found energy generated would free , blew temper , & amp ; warned rich friend never ever invest tesla",negative,,,,0.8074
put tesla share security witch say ca n't pay loan bank get share tesla dividend sell effectively bank owns tesla collateral till pay loan,positive,,,,0.7777
mod tesla ever get : smiling_face_with_sunglasses : :ghost : :high_voltage : :racing_car : # tesla,positive,,,,-0.3182
make tesla powerwalls last longer span panel # smarthomes # teslapowerwall # sunpower # buysolarlocal,neutral,,,,0.0
share gon na tumble around 8 hour .,neutral,,,,0.296
"tesla elon ’ running arbiter public discourse . twitter common sense censorship place prevent abuse racist , nazi anti-lgbtq people . preventing misinfo , disinfo malinfo twitter .",negative,,,,-0.8481
"`` virtue failing inseparable , like force matter . separate , man . `` —nikola tesla ( 10 july 1856- 7 jan 1943 ) # botd",neutral,,,,0.2732
disappointed backing deal end look thing support point towards building world want live . give credit . love spacex project . n't like ev 's love tesla bot idea .,positive,,,,0.8717
m waiting tesla motorbike .,neutral,,,,0.0
hey greg hows new tesla,negative,,,,0.0
go look influence uber high level government official tell straight face tesla n't pull similar game keep regulator away b self-driving tech .,neutral,,,,0.2263
tesla year ahead bullshit,negative,,,,-0.5859
great excuse sell tesla stock . still pretending something else ? : thinking_face :,positive,,,,0.7003
found ca n't buy food tesla stock,negative,,,,0.0
favorite fake company : coinbase uber theranos enron tesla space x ?,neutral,,,,-0.0258
"better semi , faster , efficient , less traffic , profit . general aviation way !",positive,,,,0.8231
twitter one laughing musk sell tesla stock pay damage contract enforced : face_with_tears_of_joy :,neutral,,,,-0.1027
tesla guy go hiking time . kind like ford guy go camping time . : partying_face : :smiling_face_with_open_hands :,positive,,,,0.7096
ll go government managed ( nicola ) tesla tower wirelessly power everything using waste heat government bureaucracy required build .,negative,,,,-0.4215
want girl invested like im tesla stock ’ want : rolling_on_the_floor_laughing :,positive,,,,0.4767
quinn emanuel & amp ; partner representing — individual . tesla . news earlier .,neutral,,,,0.0
"qualify biden 's $ 7 billion infrastructure program . mentioned white house , peep tesla upgrade allow non-tesla owner recharge supercharger .",neutral,,,,0.2263
battery good 1 mil km recycled eol . part li-ion especially latest tesla lfp ( last 4-5x longer ) recyclable . time wider ev adoption ’ issue .,positive,,,,0.4404
". fsd allows focus macro component driving . manual driving exhausting also focus micro component ( staying centered lane small steering wheel movement , accelerating smoothly pedal push , etc )",neutral,,,,-0.3612
"liquidated tesla share guise takeover twitter planned submarine start . whine complain way . move sec . pawn really king trust , would lie ? employee , need get vitro .",negative,,,,0.197
uhhh… . get answer tesla issue ?,neutral,,,,0.0
bank n't loan tesla stock give person earth 5 billion $ elon 44billon $ borrowed 44 billion diffance networth liquid asset networth borrow dose cash,negative,,,,0.3612
